MGS 1;Hard;2005;In welchem Jahr fand der Shadow Moses Zwischenfall statt?;2005;2002;1998;2007
MGS 1;Normal; Frank Jaeger;Cyborg Ninja ist in Wahrheit...?; Frank Jaeger;Jack Hunter;Frank Hunter;Donald Anderson
MGS 1;Normal;Kurdisch;Was war Sniper Wolf's Volkszugehörigkeit?;Kurdisch;Arabisch;Iranisch;Irakisch
MGS 1;Normal;Lungenschuss;Sniper Wolf sagt, es macht keinen Sinn sie zu retten, weil sie eine tödliche Verletzung hat. Welche?;Lungenschuss;Bauchschuss;Schuss ins Herz;Kopfschuss
MGS 1;Normal;Les Enfants Terribles;Snake und Liquid sind Klone des legendären Soldaten Big Boss. Wie war der Name dieses Projekts?;Les Enfants Terribles;Söhne der Freiheit;Operation: Snake Eater;nackte Sünde
MGS 1;Hard;David;Wie ist Solid Snake's richtiger Name?;David;John;Jack;Eli
MGS 1;Normal;Hideo Kojima;Wer ist der Schöpfer der "Metal Gear" Saga?;Hideo Kojima;David Hayter;Yoji Shinkawa;Akio Ôtsuka
MGS 1;Normal;Söhne von Big Boss;Wie nennen sich die Terroristen?;Söhne von Big Boss;Dead Cell;Patrioten;Rebellen
MGS 1;Hard;Simulierte Soldaten;Wie sollte man, laut Roy Campbell, Soldaten der Spezialeinheit der nächsten Generation nennen?;Simulierte Soldaten;Unbekannte Soldaten;Söldner;Cyber Soldaten
MGS 1;Hard;Keine Waffen;Zu Beginn des Spiels hat Snake  ...?;Keine Waffen;eine FAMAS;eine Socom Pistole;eine Mk 22
MGS 1;Normal;Solid Snake;Wer ist die Hauptfigur in "Metal Gear Solid"?;Solid Snake;Raiden;Liquid Snake;Big Boss
MGS 1;Normal;Kazuhira "Kaz" Miller;Wie heißt Master Miller wirklich?;Kazuhira "Kaz" Miller;Johnny Sasaki;Donald Anderson;Gray Fox
MGS 1;Normal;Tochter;Wie ist Meryl Silverburgh mit Roy Campbell verwandt?;Tochter;Nichte;Sie sind nicht verwandt;Schwester
MGS 1;Hard;3. September 1998;Wann wurde das Spiel in Japan für die PlayStation 1 veröffentlicht?;3. September 1998;21. Oktober 1998;22. Februar 1999;4. Dezember 1998
MGS 1;Normal;Mei Ling;Wer speichert den Spielfortschritt?;Mei Ling;Nastasha Romanenko;Naomi Hunter;Roy Campbell
MGS 1;Hard;140.15;Wie ist Maryl's Codec Frequenz?;140.15;140.30;141.12;140.42
MGS 1;Hard;141.52;Wie ist Nastasha Romanenko's Codec Frequenz?;141.52;141.12;140.92;140.52
MGS 1;Hard;140.96;Wie ist Mei Ling's Codec Frequenz?;140.96;140.56;141.16;141.96
MGS 1;Hard;140.48;Wie ist Deepthroat's Codec Frequenz?;140.48;140.46;140.28;140.32
MGS 1;Hard;141.80;Wie ist Master Miller's Codec Frequenz?;141.80;141.12;140.85;140.15
MGS 1;Hard;141.12;Wie ist Otacon's Codec Frequenz?;141.12;141.02;141.21;141.52
MGS 1;Hard;Meryl Silverburgh;Codec Frequenz 140.15 wurde genutzt von?;Meryl Silverburgh;Otacon;Deepthroat;Nastasha Romanenko
MGS 1;Hard;Mei Ling;Codec Frequenz 140.96 wurde genutzt von?;Mei Ling;Master Miller;Roy Campbell & Naomi Hunter;Deepthroat
MGS 1;Hard;Roy Campbell & Naomi Hunter;Codec Frequenz 140.85 wurde genutzt von?;Roy Campbell & Naomi Hunter;Meryl Silverburgh;Master Miller;Otacon
MGS 1;Hard;Deepthroat;Codec Frequenz 140.48 wurde genutzt von?;Deepthroat;Meryl Silverburgh;Master Miller;Otacon
MGS 1;Normal;Meryl Silverburgh;Wessen Codec-Frequenz wurde auf der Rückseite der CD-Hülle abgedruckt?;Meryl Silverburgh;Master Miller;Deep Throat;Otacon
MGS 1;Hard;7;Wie viele Codec Frequenzen wurden in im Spiel genutzt?;7;5;8;10
MGS 1;Normal;David Hater;Wer ist der englische Sprecher von Solid Snake?;David Hater;Cam Clarke;Christopher Randolph;Patric Zimmerman
